	mean1	mean2	mean3	sd1	sd2	sd3	country	species	n_mosquito_targets	sample_set	contributor	location	year	month	latitude	longitude	sex_call	aim_species	taxon
BQ0098-C	-92.96405	-43.26616	7.182778	-42.566615999999996	-42.260740000000006	-21.945152	Mozambique	Anopheles_gambiae	62	AG1000G-MZ	Joao Pinto	Furvela	2004	4.0	-23.715999999999998	35.299	F	gambiae	gambiae
AZ0311-C	-94.26474	-19.638466	-11.0615015	-47.805153000000004	-37.614585999999996	-24.630207000000002	Mali	Anopheles_gambiae	62	AG1000G-ML-A	Austin Burt	Kababougou	2014	8.0	12.89	-8.15	F	gambiae	gambiae
AP0034-C	-93.339035	-36.432762	2.1408807999999997	-44.020912	-41.207264	-22.550016	Mayotte	Anopheles_gambiae	61	AG1000G-FR	Igor Sharakhov	Sada	2011	-1.0	-12.852	45.104	M	gambiae	gambiae
BP0061-C	-83.14584	-35.91178	4.3906727	-38.854057	-37.396793	-20.075838	Democratic Republic of Congo	Anopheles_gambiae	62	AG1000G-CD	David Weetman	Gbadolite	2015	7.0	4.283	21.017	M	gambiae	gambiae
AY0027-C	-80.53395	16.12426	-31.396406	-54.50070600000001	-31.631756	-25.37043	Cote d'Ivoire	Anopheles_coluzzii	62	AG1000G-CI	David Weetman	Tiassale	2012	-1.0	5.898	-4.823	F	coluzzii	coluzzii
BK0054-C	-78.75235	-15.515697	-8.850060000000001	-41.575207	-32.96047	-20.49426	Central African Republic	Anopheles_gambiae	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	gambiae	gambiae
BK0003-C	-83.05534	12.419414	-29.330667	-54.217415	-32.30403	-25.465767	Central African Republic	Anopheles_coluzzii	62	AG1000G-CF	Alessandra della Torre	Bangui	1993	12.0	4.367	18.583	F	coluzzii	coluzzii
AN0621-CW	-57.26465	12.840672	-21.750254	-41.134144	-24.147747	-18.644526000000003	Cameroon	Anopheles_coluzzii	61	AG1000G-CM-C	Brad White	Nkolondom	2013	10.0	3.972	11.515999999999998	F	coluzzii	coluzzii
AC0045-C	-85.03350999999999	-81.85739000000001	35.41603	-41.30423	-56.264782	-27.514421000000002	Uganda	Anopheles_arabiensis	62	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	arabiensis	arabiensis
AJ0113-C	-64.434265	2.2394428	-16.430108999999998	-40.026340000000005	-26.874846	-18.912958	Guinea-Bissau	Anopheles_gambiae	62	AG1000G-GW	Joao Pinto	Antula	2010	-1.0	11.890999999999998	-15.582	F	gambiae	gcx1
DN806193J_A10	-9.418317	-61.190845	39.186012	-21.146502	-54.25109499999999	-10.524524	Gabon	Anopheles_fontenillei	59	AYMI-GA-r2104	Diego Ayala	La Lopé	2020		-0.1981	11.60055	F		
DN806193J_B9	-7.133093400000001	-65.92896999999999	42.7685	-22.926805	-59.66695	-10.33033	Gabon	Anopheles_fontenillei	60	AYMI-GA-r2104	Diego Ayala	La Lopé	2020		-0.1981	11.60055	F		
DN806193J_C10	-8.342538000000001	-64.42159000000001	41.62428	-22.36475	-57.7833	-10.562636	Gabon	Anopheles_fontenillei	60	AYMI-GA-r2104	Diego Ayala	La Lopé	2020		-0.1981	11.60055	F		
DN806193J_C3	-6.850088	-63.382904	41.287918	-22.041723	-57.558224	-9.995249	Gabon	Anopheles_fontenillei	60	AYMI-GA-r2104	Diego Ayala	La Lopé	2020		-0.1981	11.60055	F		
DN806193J_C9	-8.890564999999997	-63.15626500000001	40.611847	-21.911947	-56.375263	-10.583061	Gabon	Anopheles_fontenillei	60	AYMI-GA-r2104	Diego Ayala	La Lopé	2020		-0.1981	11.60055	F		
DN806193J_D12	-6.3984427	-63.86376	41.575245	-22.127014000000006	-58.07311600000001	-9.904471	Gabon	Anopheles_fontenillei	59	AYMI-GA-r2104	Diego Ayala	La Lopé	2020		-0.1981	11.60055	F		
DN806193J_E8	-8.747203	-66.32298	42.829937	-23.140673	-59.46378000000001	-10.914869	Gabon	Anopheles_fontenillei	60	AYMI-GA-r2104	Diego Ayala	La Lopé	2020		-0.1981	11.60055	F		
DN806193J_G12	-9.51274	-63.234306	40.539825	-21.874504	-56.058826	-10.836524	Gabon	Anopheles_fontenillei	60	AYMI-GA-r2104	Diego Ayala	La Lopé	2020		-0.1981	11.60055	F		
DN806193J_G6	-6.032356	-62.52318	40.535034	-21.593935	-56.83776500000001	-9.602775	Gabon	Anopheles_fontenillei	60	AYMI-GA-r2104	Diego Ayala	La Lopé	2020		-0.1981	11.60055	F		
DN806193J_H10	-9.482536	-62.915134	40.295025	-21.755737	-55.77086600000001	-10.778831	Gabon	Anopheles_fontenillei	60	AYMI-GA-r2104	Diego Ayala	La Lopé	2020		-0.1981	11.60055	F		
DN806203R_G12	-5.4820769999999985	-64.46384	42.2647	-22.509563	-59.24855	-9.68123	Gabon	Anopheles_fontenillei	59	AYMI-GA-r2104	Diego Ayala	La Lopé	2019		-0.17483	11.58733	F		
